campaign_id,course_campaign_name,user_id,user_name,campaign_date,digital_marketing_team,event_status,event_type,marketing_product,user_response_time
9312209299,email_email_marketing_60,879,Melisse Daber,5/7/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
1134471785,email_marketing_strategy_139,208,Celestina Marzelli,5/3/2022,ind_bdq_digex,0,email_no_unsubscribe,dummy_product,-1
0863028489,email_podcasting_39,158,Maurits Jurgensen,5/7/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
2218349590,email_podcasting_38,270,Olvan Dancer,5/4/2022,ind_stv_digex,1,email_unsubscribe,dummy_product,-1
9711293374,email_youtube_marketing_92,682,Conway Fitter,5/5/2022,ind_bdq_digex,0,email_no_unsubscribe,dummy_product,-1
4042659861,email_email_marketing_130,312,Meghan Greenig,5/4/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
7075830295,email_youtube_marketing_154,312,Meghan Greenig,5/7/2022,ind_pat_digex,0,email_no_unsubscribe,dummy_product,-1
9733955175,email_podcasting_27,884,Vevay Antoniat,5/5/2022,ind_bdq_digex,0,email_no_unsubscribe,dummy_product,-1
7607058826,email_youtube_marketing_54,264,Nicolle Lapish,5/4/2022,ind_bdq_digex,0,email_no_unsubscribe,dummy_product,-1
1850280797,email_youtube_marketing_15,428,Jillie Benoix,5/8/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
1224530195,email_youtube_marketing_154,944,Enriqueta Ubsdale,5/8/2022,ind_bdq_digex,0,email_no_unsubscribe,dummy_product,-1
2185596853,email_youtube_marketing_159,382,Jandy Lamb,5/6/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
1116160277,email_podcasting_32,404,Clarence Jarmaine,5/1/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
6132630899,email_email_marketing_115,479,Salome Hue,5/4/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
0347370608,email_podcasting_58,995,Corey Skittle,5/8/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
5872768737,email_youtube_marketing_172,538,Brittne Spong,5/1/2022,ind_vtz_digex,0,email_no_unsubscribe,dummy_product,-1
1498736092,email_email_marketing_38,45,Josephine Tukesby,5/7/2022,ind_myq_digex,0,email_no_unsubscribe,dummy_product,-1
1795475986,email_youtube_marketing_72,753,Gaston Lebbon,5/4/2022,ind_stv_digex,0,email_no_unsubscribe,dummy_product,-1
