campaign_id,course_campaign_name,user_id,user_name,campaign_date,digital_marketing_team,event_status,event_type,marketing_product,user_response_time
9312209299,email_email_marketing_60,879,Melisse Daber,5/7/2022,ind_vtz_digex,1,email_click,dummy_product,-1
8565306445,email_podcasting_34,194,Christian Ingleston,5/8/2022,ind_vtz_digex,1,email_click,dummy_product,1652066310
5677699934,email_podcasting_112,486,Dalis Dunseath,5/4/2022,ind_bdq_digex,0,email_no_click,dummy_product,-1
6766290285,email_marketing_strategy_177,978,Alicea Rowes,5/4/2022,ind_vtz_digex,0,email_no_click,dummy_product,-1
2599828201,email_youtube_marketing_151,947,Roxy Hardi,5/1/2022,ind_stv_digex,0,email_no_click,dummy_product,-1
5788969034,email_podcasting_71,305,Rosanne Cristofaro,5/6/2022,ind_bdq_digex,1,email_click,dummy_product,1651869091
3161021908,email_email_marketing_112,924,Dar Kill,5/8/2022,ind_vtz_digex,1,email_click,dummy_product,-1
8362875321,email_podcasting_56,241,Justen Templeman,5/4/2022,ind_vtz_digex,1,email_click,dummy_product,-1
1087412609,email_podcasting_166,536,Kelcie Jumeau,5/4/2022,ind_vtz_digex,0,email_no_click,dummy_product,-1
4421039322,email_podcasting_150,908,Fran Balme,5/7/2022,ind_vtz_digex,0,email_no_click,dummy_product,-1
0863028489,email_podcasting_39,158,Maurits Jurgensen,5/7/2022,ind_vtz_digex,1,email_click,dummy_product,-1
8718651100,email_podcasting_96,947,Roxy Hardi,5/4/2022,ind_bdq_digex,1,email_click,dummy_product,-1
8247153211,email_podcasting_38,612,Massimiliano Rodliff,5/8/2022,ind_bdq_digex,0,email_no_click,dummy_product,-1
2218349590,email_podcasting_38,270,Olvan Dancer,5/4/2022,ind_stv_digex,0,email_no_click,dummy_product,-1
6664691825,email_podcasting_146,594,Mitchael Bowgen,5/3/2022,ind_vtz_digex,0,email_no_click,dummy_product,-1
8922521961,email_podcasting_7,451,Maximilianus Gumary,5/7/2022,ind_stv_digex,1,email_click,dummy_product,1651948899
4345817242,email_youtube_marketing_141,828,Mari Whitter,5/1/2022,ind_vtz_digex,1,email_click,dummy_product,-1
